,General Information,Algar,Claro,Oi,Sercomtel,Sky,Tim,Vivo
P19,"Commitment to compensating users who suffered demonstrable financial loss or substantial harm as a result of the generation, retention and disclosure of personal data",3,3,2,3,2,2,3
,Empowerment,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Insatisfactory"
E1,Possibility for users to change any terms or conditions that they don't agree with,3,3,3,3,2,3,3
E2,Information on what grievance and remediation mechanisms are available to enable complaints and requests for changes in the terms of service,3,3,3,3,1,3,3
E3,Possibility for users to access the personal data providers hold on them,3,3,3,3,3,3,3
E4,Possibility for users to request amendment of personal data,3,3,3,3,3,3,3
E5,Possibility for users to delete personal data already collected,3,3,3,3,3,3,3
E6,Possibility for users to withdraw consent at any time for the processing of their personal data,3,3,3,3,3,3,2
E7,Commitment to not collecting applications logs,3,3,3,3,3,3,3
E8,Commitment to applying standards of security,2,2,3,3,2,2,2
E9,Commitment to applying standards of encryption,3,2,3,3,3,3,3
E10,Commitment to allowing users to encrypt their content,3,3,3,3,3,3,3
E11,Information on right to anonymity,3,3,3,3,3,3,3
,Non discrimination and equity,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Insatisfactory"
D1,Considerations on protection of net neutrality,3,3,3,3,3,3,3
D2,"Commitment to non discrimination against, or prioritization of content on the basis of origin, destination or service provider",3,3,3,3,3,3,3
D3,"Commitment to non-restriction of content, applications or services a user can access",3,2,3,3,3,3,3
D4,Commitment to only prioritising or de-prioritising content for the purpose of network management when strictly required,3,3,3,3,3,3,3
D5,"Statement on not conditioning the provision of free services on restricted access to content, applications or services",3,3,3,3,3,3,3
D6,"Commitment to only restricting access to content, applications or services where an order is issued by an independent judicial authority",3,3,3,8,3,3,3
D7,Commitment to notifying users immediately if an order to restrict services is received,3,3,2,3,2,2,3
D8,Commitment to challenging restriction of services orders through domestic avenues existent,3,3,3,3,1,3,3
D9,"Commitment to publishing, on a regular basis, details of any orders received to restrict access to certain content, applications or services",3,3,3,3,3,3,3
D10,"Commitment to publishing, on a regular basis, information about network management practices",3,3,3,3,2,3,3
D11,"Commitment to apologising to users/ providing comprehensive information about the measures taken by the telco to prioritise, discriminate against or restrict particular content",3,3,3,3,3,3,3
D12,Commitment to supporting individuals to bring legal action to seek remediation or compensation from the responsible State,3,3,3,3,3,3,3
D13,Detail under which circumstances related to network management the company may restrict services to users,3,2,2,3,3,3,3
,Specific Topics related to Human Rights (Censorship and Surveillance),"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Insatisfactory"
H1,Information on possible reasons for Internet shutdowns/ disconnection of services,3,3,3,3,2,3,2
H2,Commitment to challenging shutdown orders through domestic avenues existent,3,3,3,3,1,3,3
H3,Commitment to notifying users immediately of a forthcoming shutdown,3,3,2,2,2,1,2
H4,Commitment to providing up-to-date information to users about the shutdown,3,3,3,3,3,3,3
H5,Information on grievance and remediation mechanisms to remedy any negative impacts of the shutdown ,3,3,3,3,3,3,3
H6,Commitment to immediately restoring network connectivity after a shutdown at the earliest available opportunity,3,3,3,3,3,3,3
H7,"Commitment to inviting and recording the accounts of users, enabling those whose connectivity was restricted to explain and document their experiences of the shutdown",3,3,3,3,3,3,3
H8,Commitment to extending account credits or promotions as a form of universal compensation for shutdowns or altering bill payment periods,3,3,1,2,2,2,2
H9,Commitment to compensating users who suffered demonstrable financial loss or substantial harm as a result of the shutdown,3,3,2,3,3,3,3
H10,Commitment that the provider will never disconnect an individual’s access as a voluntary or punitive measure,3,3,3,3,3,3,3
H11,Commitment that to disconnect a users’ internet access a disconnection order by an independent judicial authority is necessary,3,3,3,3,3,3,3
H12,Commitment to challenging disconnection orders through domestic avenues existent,3,3,3,3,1,3,3
H13,Commitment to notifying users immediately of a forthcoming disconnection,3,3,3,2,1,2,3
H14,Commitment to immediately restoring network connectivity after a disconnection to the affected users at the earliest available opportunity,3,3,2,3,3,3,2
H15,Commitment to compensating users who suffered demonstrable financial loss or substantial harm as a result of the disconnection,3,3,2,3,2,3,3
H16,Commitment to scrutinising any request or demand from States to retrofit or modify existing telecommunications infrastructure,3,3,3,3,1,3,3
H17,Commitment to scrutinising any request or demand from States to install surveillance capabilities,3,3,3,3,3,3,3
H18,Commitment to exhausting all available remedies to challenge any request or demand to retrofit or modify infrastructure,3,3,3,3,2,3,3
H19,Commitment to exhausting all available remedies to challenge any request or demand to install surveillance capabilities,3,3,3,3,2,3,3
H20,"Commitment to publishing information, to the greatest extent possible, about any measures taken to retrofit or modify infrastructure ",3,3,3,3,3,3,3
H21,"Commitment to publishing information, to the greatest extent possible, about any measures taken to install surveillance or provide direct access to other parties",3,3,3,3,3,3,3
H22,"Commitment to wherever feasible, notifying users of specific surveillance measures to which they have been subject",3,3,3,3,3,2,3
H23,Commitment to providing a grievance or remediation mechanism to enable users to challenge the telco’s decision to comply with requests or demands,3,3,3,3,3,3,3
H24,"Commitment to apologizing and notifying affected users, providing full and comprehensive information about the type and scope of surveillance to which they were subjected",3,3,3,3,3,3,3
H25,"Commitment to inviting and recording the accounts of affected users, enabling them to explain and document their experiences of the surveillance",3,3,3,3,3,3,3
H26,Commitment to compensating users who suffered demonstrable financial loss or substantial harm as a result of the surveillance,3,3,3,3,2,3,3
H27,Commitment to supporting individuals to bring legal action to seek remediation or compensation from the responsible State for surveillance,3,3,3,3,3,3,3
,Quality of service,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Insatisfactory"
Q1,Information on guaranteed percentage of the hired connection speed,3,´2,3,3,2,3,2
Q2,Possibility for users to check hired vs. actual speed ,3,3,3,2,3,3,2
Q3,Datacap is not adopted as a commercial practice,1,3,3,3,3,2,3
Q4,Possibility of connection degradation after reaching datacap limit (only if Q3 = 2),"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory",3,3,3,3,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
",2
Q5,Possibility of connection suspension after reaching datacap limit (only if Q3 = 2),"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory",3,3,3,3,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
",3
Q6,Information on whether or not the company comply with a consumer's board ,3,3,3,3,3,3,3
,Connection sharing,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Insatisfactory"
S1,Commitment to allowing connection sharing for any purposes (commercial or not),3,2,3,3,3,3,3
S2,Commitment to allowing connection sharing for non-profit purposes,3,2,3,3,3,3,3
